fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish14,Washout,10,42,6,5,2.245500898,-5.411545822,-6.105512989
fish14,ReRotation,1,43,6,2,5.061610957,9.612096323,8.045594345
fish14,ReRotation,2,44,6,2,4.111193282,16.31014536,19.66519415
fish14,ReRotation,3,45,6,3,3.842190227,-1.196303845,0.310200519
fish14,ReRotation,4,46,6,3,4.30846752,10.26829375,8.230659924
fish14,ReRotation,5,47,6,6,2.544753401,0.226899561,-0.115763236
fish14,ReRotation,6,48,6,6,2.54140002,0.917224318,1.243158335
fish14,ReRotation,7,49,6,4,2.782880093,-2.23416421,-0.039082213
fish14,ReRotation,8,50,6,4,3.546896286,2.423620788,0.493459036
fish14,ReRotation,9,51,6,2,5.432159779,19.5064714,16.1455426
fish14,ReRotation,10,52,6,5,2.689421525,-4.175868677,-4.917295026
fish14,ReRotation,11,53,6,6,2.9798645,-1.156286148,-1.047133668
fish14,ReRotation,12,54,6,6,2.579303255,0.683527866,0.8034096
fish14,ReRotation,13,55,6,2,8.464182099,-13.53577191,-20.08948975
fish21,Baseline,1,1,6,4,3.496774032,-4.473088067,-17.64680538
fish21,Baseline,2,2,6,2,6.27699159,-17.27484805,-37.69555779
fish21,Baseline,3,3,6,2,3.58261884,-12.59395247,-14.00964115
fish21,Baseline,4,4,6,5,3.085496621,0.317708613,0.992685679
fish21,Baseline,5,5,6,3,4.387772583,-3.236211799,-14.53112365
fish21,Baseline,6,6,6,3,3.496980468,-4.248142731,-5.559025071
fish21,Baseline,7,7,6,4,3.429802508,-0.036439258,-0.539612162
fish21,Baseline,8,8,6,3,3.01562362,-6.842102216,-9.308322052
fish21,Baseline,9,9,6,5,3.779843343,-1.522622841,-6.276092108
fish21,Baseline,10,10,6,2,4.961344401,-18.65094761,-13.23670799
fish21,Baseline,11,11,6,3,3.683432412,-1.318349846,10.09874319
fish21,Baseline,12,12,6,3,4.105352542,-8.624439488,-8.23922687
fish21,Baseline,13,13,6,4,3.721838075,-3.302906344,-4.039751992
fish21,Baseline,14,14,6,2,4.555916302,-6.367201724,-21.94168581
fish21,Baseline,15,15,6,1,4.874806152,3.369163916,-0.269900663
fish21,Baseline,16,16,6,4,2.512250908,-5.144970297,-4.631862109
fish21,Baseline,17,17,6,2,7.042226745,-6.359160763,-11.78294252
fish21,Baseline,18,18,6,3,4.366135141,-3.981182543,-3.366005621
fish21,Baseline,19,19,6,3,5.244868861,-6.084196375,-13.32620499
fish21,Baseline,20,20,6,4,3.878669196,-5.632326294,-5.363366916
fish21,Baseline,21,21,6,0,5.579013633,-13.25806893,-21.45910442
fish21,Baseline,22,22,6,5,4.445444099,-3.711015044,-5.139399613
fish21,Baseline,23,23,6,3,4.614439781,-7.761974878,-12.38430599
fish21,Baseline,24,24,6,2,3.204350359,-11.07983047,-18.8357577
fish21,Baseline,25,25,6,3,3.040591877,-8.501005567,-8.794094517
fish21,Baseline,26,26,6,2,4.61774555,-13.25526679,-13.06102246
fish21,Baseline,27,27,6,3,3.183712691,-4.893479783,-8.310532058
fish21,Baseline,28,28,6,4,4.341361652,-7.095322837,-7.54834793
fish21,Rotation,1,29,6,1,5.819667694,11.50525801,12.94965552
fish21,Rotation,2,30,6,3,5.034028156,7.963892373,9.197863593
fish21,Rotation,3,31,6,4,2.845797297,3.527638062,0.920150141
fish21,Rotation,4,32,6,5,2.69739164,0.719153932,3.437324105
