fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
14,Washout,9.0,3.4921998943333334,3.2431904035,1.4760441835439273,2.659333333333333,2.661,2.2929999999999997,2.298,2.9983333333333335,2.998,0.9586666666666667,0.967,0.6748333333333334,0.684,1.2676666666666667,1.274,2.9628333333333337,2.9619999999999997,1.2436666666666667,1.2505000000000002,4.811,4.800000000000001,42,2.423744169464006,3.311479083191025,2.415851418595369,3.309033649128113,3.8538926222816783,3.6257620132914026
14,Washout,10.0,2.621922776,2.255141524,0.6134301750649185,2.651,2.651,2.268,2.268,3.0,3.0,0.917,0.917,0.629,0.629,1.236,1.236,2.9436,2.947,1.278,1.298,4.7376000000000005,4.727,43,2.37672993950619,3.29693553017466,2.37672993950619,3.29693553017466,2.71300593072313,2.3593869469619015
14,ReRotation,1.0,5.421192464833333,5.2242961235,2.272348035577969,4.073,4.073,2.566,2.566,6.102999999999999,6.103,3.0499999999999994,3.05,2.027,2.027,4.418,4.418,5.7684999999999995,5.7695,0.6968333333333333,0.6865,11.664,11.6395,44,3.3173747276060643,7.6621449776184765,3.3173747276060643,7.662144977618474,5.974442974118905,5.793473606590387
14,ReRotation,2.0,4.8530799615,5.023266008,0.9315376412006842,3.6779999999999995,3.678,2.7129999999999996,2.713,4.714,4.714,2.709,2.709,2.12,2.12,3.423,3.423,5.133,5.1285,0.7718333333333334,0.7795,10.201,10.217500000000001,45,3.4941864922085784,5.924153201785654,3.4941864922085784,5.924153201785654,4.968307600479582,5.134829904434033
14,ReRotation,3.0,4.176385222666666,3.8421902269999997,1.246470869772761,3.499,3.499,2.78,2.78,4.255,4.255,2.589,2.589,2.032,2.032,3.17,3.17,4.900666666666667,4.8919999999999995,0.685,0.71,9.679166666666667,9.7335,46,3.5011210634144385,5.392316435103458,3.5011210634144385,5.392316435103458,4.406067977471898,4.088814420284962
14,ReRotation,4.0,4.695816741833333,4.6232608125,1.1992369808400296,3.394,3.394,2.756,2.756,4.009,4.009,2.524,2.524,2.001,2.001,3.078,3.078,4.749333333333333,4.746,0.6763333333333333,0.6990000000000001,9.4385,9.419,47,3.463378658306796,5.132178018740097,3.463378658306796,5.132178018740097,4.888511538114839,4.818651838650117
14,ReRotation,5.0,2.5691025518333332,2.5447534015,0.19112544592704458,3.324,3.324,2.764,2.764,3.9120000000000004,3.912,2.481,2.481,1.966,1.966,2.987,2.987,4.646833333333333,4.643,0.6823333333333333,0.6475,9.259333333333332,9.281500000000001,48,3.45074324996795,4.998619865040914,3.45074324996795,4.998619865040917,2.5785312347559497,2.5542713347881345
14,ReRotation,6.0,2.6099917848333334,2.54140002,0.27558232073664773,3.273,3.273,2.7320000000000007,2.732,3.8349999999999995,3.835,2.449,2.449,1.945,1.945,2.929,2.929,4.5985000000000005,4.605,0.7241666666666666,0.729,9.103666666666667,9.125,49,3.411768413931233,4.900681841249026,3.4117684139312336,4.90068184124902,2.629185117563188,2.561100098085762
14,ReRotation,7.0,2.9326886623333333,2.7828800935,0.6484570709769945,3.234,3.234,2.696,2.696,3.788,3.788,2.424,2.424,1.949,1.949,2.9019999999999997,2.902,4.531833333333333,4.534,0.7261666666666667,0.73,9.024000000000001,9.0615,50,3.3832748062720053,4.845670547780195,3.3832748062720053,4.845670547780194,3.024134163279787,2.87881043918635
14,ReRotation,8.0,3.6810343290000005,3.599749913,0.7612428095536496,3.204,3.204,2.647,2.647,3.747,3.747,2.403,2.403,1.946,1.946,2.878,2.878,4.484333333333333,4.4885,0.6938333333333334,0.6905,8.897166666666667,8.915,51,3.3398984894182604,4.797432143003451,3.3398984894182604,4.797432143003451,3.781963395932031,3.702784900847885
