fish,stage,day,plotday,trial,EST,yds,distance
fish10,Washout,9,49,1,0.833931122,4.657307454,2.879612961
fish10,Washout,9,49,2,0.0,-24.09475051,8.980372803
fish10,Washout,9,49,3,0.978965912,-2.874817244,5.656542514
fish10,Washout,9,49,4,0.519981537,7.138985652,3.699343952
fish10,Washout,9,49,5,1.0,0.366690408,2.468134987
fish10,Washout,9,49,6,1.0,-0.854697283,2.644484833
fish10,Washout,10,50,1,0.703745041,-5.938423149,2.390098699
fish10,Washout,10,50,2,0.0,7.1166008,5.086217482
fish10,Washout,10,50,3,0.682144318,5.701077259,3.936627564
fish10,Washout,10,50,4,1.0,-1.628924194,2.42571524
fish10,Washout,10,50,5,0.913648758,-3.812146325,2.250829724
fish10,Washout,10,50,6,1.0,-1.93202387,2.322528714
fish10,ReRotation,1,51,1,0.0,26.84963645,5.29251636
fish10,ReRotation,1,51,2,0.904750977,3.698938134,4.051753433
fish10,ReRotation,1,51,3,0.287685547,9.308154453,3.333739213
fish10,ReRotation,1,51,4,0.0,39.05550545,5.290087254
fish10,ReRotation,1,51,5,0.0,30.12837216,6.913769285
fish10,ReRotation,1,51,6,0.161848221,11.03161913,4.939345256
fish10,ReRotation,2,52,1,0.094995651,11.08394507,3.224213363
fish10,ReRotation,2,52,2,0.0,35.1659724,8.255616936
fish10,ReRotation,2,52,3,0.0,26.57664399,7.082723071
fish10,ReRotation,2,52,4,0.0,52.39802173,5.905780566
fish10,ReRotation,2,52,5,0.0,23.77691584,6.233591693
fish10,ReRotation,2,52,6,0.0,21.96225873,6.63055619
fish10,ReRotation,3,53,1,0.636482391,6.55273796,2.566193645
fish10,ReRotation,3,53,2,0.0,17.50749466,4.469212408
fish10,ReRotation,3,53,3,0.0,36.71743075,6.95826922
fish10,ReRotation,3,53,4,0.0,14.31156759,4.34250902
fish10,ReRotation,3,53,5,0.627708588,5.908466353,4.560354407
fish10,ReRotation,3,53,6,0.0,24.55824982,4.857221116
fish10,ReRotation,4,54,1,0.0,26.7739637,5.826498411
fish10,ReRotation,4,54,2,0.0,25.98268431,7.860718856
fish10,ReRotation,4,54,3,0.0,19.55182201,7.04279834
fish10,ReRotation,4,54,4,0.0,22.54190332,9.993804917
fish10,ReRotation,4,54,5,1.0,0.850569523,6.097602074
fish10,ReRotation,4,54,6,0.903988037,3.565291475,3.416320626
fish10,ReRotation,5,55,1,0.0,22.37189146,5.179010733
fish10,ReRotation,5,55,2,0.833797607,4.548277459,2.373964669
fish10,ReRotation,5,55,3,0.607605133,6.31399102,2.85301497
fish10,ReRotation,5,55,4,0.0,22.46236021,11.93169722
fish10,ReRotation,5,55,5,0.0,16.97273539,4.68923839
fish10,ReRotation,5,55,6,0.905056152,3.773986635,4.617025964
fish10,ReRotation,6,56,1,0.496750031,7.303502622,4.379066747
fish10,ReRotation,6,56,2,0.793180618,4.480998613,3.589176308
fish10,ReRotation,6,56,3,0.0,14.23157464,4.623201246
fish10,ReRotation,6,56,4,0.0,33.86140539,10.20998757
fish10,ReRotation,6,56,5,0.0,27.23442243,6.728439534
fish10,ReRotation,6,56,6,1.0,2.455119521,2.480887405
fish10,ReRotation,7,57,1,0.0,-36.31287924,11.56227674
