,fish,stage,day,plotday,y,PlotDay
333,14.0,Baseline,8.0,8.0,-8.1994679005,-10
334,14.0,Baseline,9.0,9.0,-6.53305099,-9
335,14.0,Baseline,10.0,10.0,58.731739946000005,-8
336,14.0,Baseline,11.0,11.0,-19.010041960000002,-7
337,14.0,Baseline,12.0,12.0,-13.006423587,-6
338,14.0,Baseline,13.0,13.0,-3.7775060114999994,-5
339,14.0,Baseline,14.0,14.0,1.891980412,-4
340,14.0,Baseline,15.0,15.0,-8.3076004885,-3
341,14.0,Baseline,16.0,16.0,-6.8665162975000005,-2
342,14.0,Baseline,17.0,17.0,-5.570390813,-1
343,14.0,Rotation,1.0,18.0,0.763683321,0
344,14.0,Rotation,2.0,19.0,-5.475437274,1
345,14.0,Rotation,3.0,20.0,-6.5976430775,2
346,14.0,Rotation,4.0,21.0,-10.229031291,3
347,14.0,Rotation,5.0,22.0,1.694065096,4
348,14.0,Rotation,6.0,23.0,-2.1882230545,5
349,14.0,Rotation,7.0,24.0,-19.679385775,6
350,14.0,Rotation,8.0,25.0,7.3546281045,7
351,14.0,Rotation,9.0,26.0,-12.124688947500001,8
352,14.0,Rotation,10.0,27.0,-5.858083414999999,9
353,14.0,Rotation,11.0,28.0,-11.4245494745,10
354,14.0,Rotation,12.0,29.0,-6.8587902194999995,11
355,14.0,Rotation,13.0,30.0,-4.471699487,12
356,14.0,Rotation,14.0,31.0,2.718960015,13
357,14.0,Rotation,15.0,32.0,2.8059500315,14
358,14.0,Rotation,16.0,33.0,-7.727910802,15
359,14.0,Washout,1.0,34.0,-10.1260913355,16
360,14.0,Washout,2.0,35.0,-9.024322971499998,17
361,14.0,Washout,3.0,36.0,-7.408904836,18
362,14.0,Washout,4.0,37.0,-6.991727981,19
363,14.0,Washout,5.0,38.0,-5.3939127655,20
364,14.0,Washout,6.0,39.0,-6.430290455,21
365,14.0,Washout,7.0,40.0,-3.6146245295,22
366,14.0,Washout,8.0,41.0,-3.758007648,23
367,14.0,Washout,9.0,42.0,-5.700788205,24
368,14.0,Washout,10.0,43.0,-5.442587355,25
369,14.0,ReRotation,1.0,44.0,9.612096323500001,26
370,14.0,ReRotation,2.0,45.0,16.310145365,27
371,14.0,ReRotation,3.0,46.0,-1.1963038449999999,28
372,14.0,ReRotation,4.0,47.0,10.268293744,29
373,14.0,ReRotation,5.0,48.0,0.22689956049999999,30
374,14.0,ReRotation,6.0,49.0,0.9172243185000001,31
375,14.0,ReRotation,7.0,50.0,-2.2341642105,32
376,14.0,ReRotation,8.0,51.0,2.423620788,33
377,14.0,ReRotation,9.0,52.0,19.506471405,34
378,14.0,ReRotation,10.0,53.0,-4.175868677,35
379,14.0,ReRotation,11.0,54.0,-1.1562861475,36
380,14.0,ReRotation,12.0,55.0,0.6835278655,37
381,14.0,ReRotation,13.0,56.0,-13.535771910000001,38
382,21.0,Baseline,1.0,1.0,-4.473088067,-28
383,21.0,Baseline,2.0,2.0,-17.27484805,-27
384,21.0,Baseline,3.0,3.0,-12.59395247,-26
385,21.0,Baseline,4.0,4.0,0.317708613,-25
386,21.0,Baseline,5.0,5.0,-3.2362117990000003,-24
387,21.0,Baseline,6.0,6.0,-4.2481427305,-23
388,21.0,Baseline,7.0,7.0,-0.036439258,-22
389,21.0,Baseline,8.0,8.0,-6.8421022165,-21
390,21.0,Baseline,9.0,9.0,-1.522622841,-20
391,21.0,Baseline,10.0,10.0,-18.650947610000003,-19
392,21.0,Baseline,11.0,11.0,-1.3183498465000003,-18
393,21.0,Baseline,12.0,12.0,-8.624439491,-17
394,21.0,Baseline,13.0,13.0,-3.302906344,-16
395,21.0,Baseline,14.0,14.0,-6.3672017235,-15
396,21.0,Baseline,15.0,15.0,3.3691639159999998,-14
397,21.0,Baseline,16.0,16.0,-5.1449702975000005,-13
398,21.0,Baseline,17.0,17.0,-6.359160763,-12
399,21.0,Baseline,18.0,18.0,-3.9811825425,-11
400,21.0,Baseline,19.0,19.0,-6.084196374499999,-10
401,21.0,Baseline,20.0,20.0,-5.632326294,-9
402,21.0,Baseline,21.0,21.0,-13.258068925,-8
403,21.0,Baseline,22.0,22.0,-3.7110150434999998,-7
404,21.0,Baseline,23.0,23.0,-7.7619748804999995,-6
405,21.0,Baseline,24.0,24.0,-11.079830475000001,-5
406,21.0,Baseline,25.0,25.0,-8.501005567,-4
407,21.0,Baseline,26.0,26.0,-13.25526679,-3
408,21.0,Baseline,27.0,27.0,-4.8934797835,-2
409,21.0,Baseline,28.0,28.0,-7.095322836999999,-1
410,21.0,Rotation,1.0,29.0,11.5052580075,0
411,21.0,Rotation,2.0,30.0,7.963892371,1
412,21.0,Rotation,3.0,31.0,3.5276380620000003,2
413,21.0,Rotation,4.0,32.0,0.7191539325,3
414,21.0,Rotation,5.0,33.0,-3.6426059075,4
415,21.0,Rotation,6.0,34.0,-1.6145164694999998,5
416,21.0,Rotation,7.0,35.0,-3.7720577960000004,6
417,21.0,Rotation,8.0,36.0,-2.2955905805,7
418,21.0,Rotation,9.0,37.0,-3.3892892144999998,8
419,21.0,Rotation,10.0,38.0,-2.574512983,9
420,21.0,Rotation,11.0,39.0,-3.987840239,10
421,21.0,Rotation,12.0,40.0,-2.1013350205,11
422,21.0,Rotation,13.0,41.0,-1.795698107,12
423,21.0,Rotation,14.0,42.0,-7.1033436005,13
424,21.0,Rotation,15.0,43.0,-0.9737944585,14
425,21.0,Washout,1.0,44.0,-31.1442933335,15
426,21.0,Washout,2.0,45.0,-6.179011645499999,16
427,21.0,Washout,3.0,46.0,-4.904024438,17
428,21.0,Washout,4.0,47.0,-6.596418559,18
429,21.0,Washout,5.0,48.0,-7.0336009215,19
430,21.0,Washout,6.0,49.0,-6.7568575455,20
431,21.0,Washout,7.0,50.0,-4.7060486445,21
432,21.0,Washout,8.0,51.0,-4.0904505555,22
433,21.0,Washout,9.0,52.0,-3.4872912185,23
434,21.0,Washout,10.0,53.0,-3.5565650035,24
435,21.0,ReRotation,1.0,54.0,12.8308496875,25
